#lab_id	lab_id	bt16 cntr 1	bt16 cntr 2	bt16 cntr 3	bt16 dac0_5 -1	bt16 dac0_5 -2	bt16 dac0_5 -3	bt16 gsk0_5 -1	bt16 gsk0_5 -2	bt16 gsk0_5 -3	bt16 dac0_5_gsk0_5 -1	bt16 dac0_5_gsk0_5 -2	bt16 dac0_5_gsk0_5 -3
#sampe_descr	sampe_descr	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment	atrt cell line - treatment
#u-groups	u-groups	Control	Control	Control	Daco	Daco	Daco	Davon gsk	Davon gsk	Davon gsk	Gsk126	Gsk126	Gsk126
A1BG	229819_at	63,5	86,9	76,1	81.00	102,9	84,6	75,4	54,9	72,2	74,7	62,7	63,4
A1CF	220951_s_at	41,8	37,8	40,9	34.60	33	24,2	19,1	15,4	23,9	53,4	35,6	43,2
A2M	1558450_at	27,1	25,5	15,6	27.60	33,6	30,1	22,7	29,2	18,8	38,6	30,3	23
A2M-AS1	1564139_at	9,7	21,6	11,8	14.40	12,4	8,8	19,1	17,3	10,9	22,1	27,4	7
AA06	241552_at	25,3	14,1	24,5	25.70	32,4	38,3	32,7	17,6	21,2	33,4	44,3	26,3
AAAS	218075_at	107,6	59,6	114,9	87.00	72,1	93,8	97,1	100,9	94,1	92	83,8	65,4
AACS	218434_s_at	323,8	316,8	283,5	348.60	369	362,1	285,5	299	324,4	290	255,6	228,8
AACSP1	1570020_at	10,3	22,3	9,4	14.80	7,3	10,4	1,1	21,8	4,9	15,6	4,2	6,1
AADAC	205969_at	453,2	488,9	305,4	386.10	347	348,1	1015,1	1010,4	571,4	1062,7	1049,3	1087,4
AADACP1	1569582_at	266,6	333,4	270,8	290.50	238,9	335,3	403,2	504,1	527,8	356,8	410,5	363,7
AADAT	223593_at	30,3	35,1	25,2	15.10	21,1	28,2	45,1	55,3	60,9	47,8	63,3	65
AAED1	227534_at	198,9	190,4	221,2	270.30	233,3	232,3	165,8	143,7	231,3	148,8	127,5	91
AAGAB	202852_s_at	246,6	190,9	295,2	274.10	226,5	274,6	250	266,6	291,4	221,9	270,3	362,2
AAK1	225522_at	134,6	169,4	169,2	133.10	93,4	109,6	191,8	204,8	224,7	192,2	199,7	177,5
AAMDC	221599_at	134	130	138,4	134.80	139,4	134,7	105,5	90,2	120,2	97,2	82	65,7
AAMP	201511_at	252	344	363,3	187.50	253,2	347,1	230,1	286,7	304	245,1	258,3	314,9
AAR2	218089_at	126,9	149,4	156,6	69.80	74,2	123,4	120,1	135	162,3	147,7	143,2	173
AARS	201000_at	846,6	862,2	726,2	1141.90	1149,2	966,8	752	832	957,7	666,4	609,4	641,1
AARS2	231845_at	112,6	111,5	110,4	105.30	93,2	79	109,8	101,9	103,7	127,8	127,4	95,1
AASDH	235435_at	146,6	134	138,2	161.80	171,4	144,2	138	136,9	142,3	112,7	105,6	89,2
AASDHPPT	202169_s_at	1214,7	1175,8	1396,5	1039.50	823,3	1122,2	1317,5	1203,7	1342,6	1228,6	1327,2	1378,6
AASS	214829_at	87,8	66,9	75,3	81.20	96,4	84,9	90,9	85,7	102,3	122	79,6	73
AATBC	1563088_a_at	39,3	55	45,4	25.40	27	41,1	23,1	22,6	13,1	14,7	22,2	17,8
AATF	209165_at	312,6	297,4	345	290.40	244	284,8	314,3	297	334	273,2	302,1	351,4
AATK	205986_at	64,4	63,6	70,5	45.50	51,7	58,1	38,3	45,5	46,8	57,6	22,1	47,4
ABAT	209459_s_at	76,3	88,2	101	65.90	36	63,9	110,2	109,1	108,5	100,8	89,4	84,5
ABCA1	203505_at	972,9	843,5	852,9	788.70	445,4	642,1	1013,6	911,6	928,4	868,5	818,5	820,3
ABCA11P	220159_at	44,8	50,9	59,9	31.60	37	39,4	46,6	64,3	38,9	56	59,3	52,8
ABCA12	215465_at	9,4	5,2	7,9	7.10	7,3	8,6	6,8	12,2	7	1,6	14,1	11
ABCA13	1553605_a_at	29,5	19,3	23,6	28.10	22,5	22,9	33,3	26,4	40,8	44,3	47,8	26,6
ABCA17P	231164_at	17,8	28,1	31,9	33.70	32,3	25,1	27,1	33,3	21,1	30,4	40,4	22
ABCA2	212772_s_at	61,3	67,2	43,7	73.60	75,2	62,3	44,5	67,9	60,1	63,2	78,7	76,5
ABCA3	204343_at	96,7	121,7	114,4	120.80	146,9	133,1	118,9	120,2	140,4	125,1	127,5	100,5
ABCA4	210082_at	109,9	140,5	147,1	136.10	146,1	125,9	174,6	145	106,1	134,1	120,7	96,9
ABCA5	213353_at	135,8	112,3	95	141.20	101,6	92,2	137,3	142,8	85,4	113,8	112,1	114,6
ABCA7	219577_s_at	101,8	120,9	87,7	146.30	138,6	114,8	106,6	95,4	88,2	95,5	64,9	71,5
ABCA8	204719_at	7,7	22,4	0,3	7.20	14,1	5,3	6,6	12,2	6,6	8,4	14,1	19,7
ABCB1	243951_at	10,9	20,4	16,1	18.00	14,2	29,9	10,7	14,5	11,5	15	25,2	16,2
ABCB10	223320_s_at	278,2	239,3	309,9	234.00	199,2	224,2	218,4	213,2	219,9	236,3	279,5	271,5
ABCB5	1569072_s_at	14,5	17,6	9,6	12.00	7,6	34	4,3	12,2	4,3	13,9	9	14,9
ABCB6	203192_at	348,9	287,2	262,6	432.40	383,4	342,5	278	314,8	355,6	290	274,7	220,5
ABCB7	209620_s_at	455,1	372,7	429,4	514.50	462,2	458,8	342,6	382,7	387,2	368,7	312,1	335,1
ABCB8	229539_at	50,1	47,8	51,1	1.80	38,8	24,2	35,1	33,6	35,3	45,7	60,6	66,5
ABCC1	202804_at	1446,6	1494,5	1261,9	1686.50	1937,3	1673,9	1618,7	1685,3	1955,1	1570,5	1545,9	1530,7
ABCC10	213485_s_at	294,4	228,4	281,4	298.40	242,7	250,1	233,3	230,4	226,7	241,4	218,1	217,4
